Fundo,CNPJ,Cota/Classe,Tipo,Data deliberação,Data emissão / 1ª integralização,Data encerramento/oferta,Quantidade,Volume,VNU,Remuneração,Juros/remuneração,Amortização principal,Status/evidência,Fonte,Classe/Série,Amortização/Vencimento,categoria_evidencia,grupo,fundo,nome_curto,cnpj,data_referencia,documento_id,tipo_documento,categoria_documento,source_file,page,termos_encontrados,trecho,fonte_pagina
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021,206963,Regulamento,regulamento,data/raw/33254370000104/206963_regulamento_regulamento_206963_2021-07-15.pdf,12,\bresgate\b,"12 pelos respectivos Devedores; e (ii ) dos Ativos Financeiros pelas respectivas contrapartes. Após o recebimento desses recursos e, se for o caso, depois de esgotados todos os meios cabíveis para a cobrança, extrajudicial ou judicial, dos referidos ativos, o Fundo não disporá de quaisquer out ras verbas para efetuar o resgate, total ou parcial, das Cotas, o que poderá acarretar prejuízo aos Cotistas. (f) Patrimônio Líquido negativo. Os investimentos do Fundo estão, por sua natureza, sujeitos a flutuações típicas de mercado, risco de crédito, risco sistêmico, condições adversas de liquidez e negociação atípica nos mercados de atuação, sendo que não há garantia de completa eliminação da possibilidade de perdas para o Fundo e para os Cotistas. Além disso, as estratégias...",206963_regulamento_regulamento_206963_2021-07-15.pdf p.12
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,15/07/2021 09:00,196309,AGE,assembleia,data/raw/33254370000104/196309_assembleia_assembleia_196309_2021-07-15.pdf,8,\bamortiza[cç][aã]o\b,"... na carteira do Fundo com relação às restrições previstas na legislação em vigor e/ou no Regulamento que afete a condição tributária do Fundo ou que seja determinante para a decisão de investimento dos atuais cotistas e/ou potenciais cotistas do Fundo; 6.1.9.6. Em virtude de o Fundo ser um condomínio fechado, a BRL TRUST informará ao Novo Administrador o quanto se segue: (i) data de início do Fundo como de condomínio fechado; (ii) data da última amortização de cotas do Fundo; (iii) se existe ou não alguma distribuição de cotas do Fundo em curso; (iv) fornecerá todos os documentos pertinentes à distribuição de cotas do Fundo, conforme aplicável; Este documento foi assinado digitalmente por Andre De Pina Dos Santos, Marcos Moretti, Antonio Correa Bosco, Rodrigo Martins Cavalcante e Douglas Shibayama. Este documento foi assinado eletronicamente por LUCAS DE OLIVEIRA, Ariane De Carvalho Salgado Verrone...",196309_assembleia_assembleia_196309_2021-07-15.pdf p.8
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,19/02/2026,1118467,Regulamento,regulamento,data/raw/33254370000104/1118467_regulamento_regulamento_1118467_2026-02-19.pdf,2,"\bamortiza[cç][aã]o\b, \bresgate\b","...TICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 5 3. FATORES DE RISCO 11 4. PRESTADORES DE SERVIÇOS ESSENCIAIS 25 5. RESPONSABILIDADE DOS PRESTADORES DE SERVIÇO 33 6. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA E DA GESTORA 34 7. CUSTODIANTE, AGENTE DE COBRANÇA E AGENTE DE RECEBIMENTO 35 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS 39 9. COTAS 41 10. RENTABILIDADE EXCEDENTE DO FUNDO 46 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 47 12. AMORTIZAÇÃO E RESGATE DAS COTAS 50 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 54 14. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO 57 15. EVENTOS DE AVALIAÇÃO 57 16. EVENTOS DE LIQUIDAÇÃO ANTECIPADA E LIQUIDAÇÃO DO FUNDO 60 17. DESPESAS E ENCARGOS DO FUNDO 62 18. PATRIMÔNIO LÍQUIDO NEGATIVO COM LIMITAÇÃO DE RESPONSABILIDADE 65 19. ASSEMBLEIA GERAL 68 20. INFORMAÇÕES OBRIGATÓRIAS E PERIÓDICAS 75 21. PUBLICAÇÕES 77 22. DISPOSIÇÕES FINAIS 77 COMPLEMENTO I - DEFINIÇÕES ...",1118467_regulamento_regulamento_1118467_2026-02-19.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,19/02/2026,1118467,Regulamento,regulamento,data/raw/33254370000104/1118467_regulamento_regulamento_1118467_2026-02-19.pdf,4,\bresgate\b,"...onários autorizados; (f) as referências a o Fundo alcançam a sua Classe; e (g) todas as referências à Classe alcançam o Fundo já que este possui classe única. 1. Forma de Constituição, Prazo de Duração e Classificação do Fundo 1.1 O Fundo é constituído em uma única Classe de Cotas fechada, nos termos do artigo 5º, do Anexo Normativo II à Resolução CVM nº 175, de modo que as Cotas somente serão resgatadas, ordinariamente, nas respectivas datas de resgate ou em caso de liquidação antecipada da Classe. Adicionalmente, as Cotas também poderão ser objeto de amortizações durante o prazo de vigência do Fundo, nos termos deste Regulamento , dos respectivos Apêndices e dos respectivos",1118467_regulamento_regulamento_1118467_2026-02-19.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,19/02/2026,1118467,Regulamento,regulamento,data/raw/33254370000104/1118467_regulamento_regulamento_1118467_2026-02-19.pdf,10,\bvencimento\b,"...os Direitos Creditórios CCB e Direitos Creditórios PPV, respectivamente, na respectiva Data de Aquisição e Pagamento (“ Critérios de Elegibilidade”). 2.3.5 Os Direitos Creditórios CCB deverão atender aos seguintes Critérios de Elegibilidade, na respectiva Data de Aquisição e Pagamento: a) Serem representadas por CCBs; b) Serem originados de operações de crédito realizadas pelas Instituições Financeiras Parceiras; e c) Deverão ter prazo máximo de vencimento equivalente a: (a) a 60 (sessenta) meses para as CCBs Veículos; ou (b) a 25 (vinte e cinco) meses para as demais CCBs. 2.3.6 Os Direitos Creditórios PPV deverão atender aos seguintes Critérios de Elegibilidade, na respectiva Data de Aquisição e Pagamento: a) O Cedente deverá ser pessoa física ou pessoa jurídica inscrita, respectivamente, no Cadastro de Pessoas Físicas ou Cadastro Nacional de Pessoas Jurídicas; e",1118467_regulamento_regulamento_1118467_2026-02-19.pdf p.10
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,19/02/2026,1118467,Regulamento,regulamento,data/raw/33254370000104/1118467_regulamento_regulamento_1118467_2026-02-19.pdf,13,\bresgate\b,"13 a) Dos Devedores . Decorre da capacidade dos Devedores em honrarem seus compromissos, de forma pontual e/ou integralmente, conforme contratados. O Fundo sofrerá o impacto do inadimplemento dos Direitos Creditórios Adquiridos que estejam vencidos e não pagos. O Fundo somente procederá ao resgate das Cotas em moeda corrente naci onal na medida em que os Direitos Creditórios sejam pagos pelos Devedores e os respectivos valores sejam transferidos ao Fundo, não havendo garantia de que o resgate das Cotas ocorrerá integralmente conforme estabelecido neste Regulamento. Nessas hipóteses , não será devido pelo Fundo, pela Administradora, pela Gestora, pelo Custodiante, pelos Cedentes ou por qualquer empresa de seus Grupos Econômicos, qualquer m...",1118467_regulamento_regulamento_1118467_2026-02-19.pdf p.13
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,19/02/2026,1118467,Regulamento,regulamento,data/raw/33254370000104/1118467_regulamento_regulamento_1118467_2026-02-19.pdf,15,\bamortiza[cç][aã]o\b,"15 negociados, e/ou outras condições atípicas de mercado. Caso isso ocorra, o Fundo estará sujeito a riscos de liquidez dos Ativos Financeiros detidos em Carteira, situação em que o Fundo poderá não estar apto a efetuar pagamentos relativos à amortização e resgates de suas Cotas. b) Dos Direitos Creditórios. O investimento do Fundo em Direitos Creditórios apresenta peculiaridades em relação às aplicações usuais da maioria dos fundos de investimento brasileiros, haja vista que não existe, no Brasil, mercado secundário com liquidez para tais Direitos Creditóri os. Caso o Fundo precise vender os Direitos Creditórios detidos em Carteira, poderá não haver mercado comprador ou o preço de alienação de ...",1118467_regulamento_regulamento_1118467_2026-02-19.pdf p.15
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/10/2021,228026,Regulamento,regulamento,data/raw/33254370000104/228026_regulamento_regulamento_228026_2021-10-21.pdf,2,"\bamortiza[cç][aã]o\b, \bresgate\b","...RAZO DE DURAÇÃO 3 2. POLÍTICA DE INVESTIMENTO E COMPOSIÇÃO DA CARTEIRA 3 3. CRITÉRIOS DE ELEGIBILIDADE E CONDIÇÕES DE CESSÃO 6 4. FATORES DE RISCO 8 5. ADMINISTRADORA 17 6. OBRIGAÇÕES, VEDAÇÕES E RESPONSABILIDADES DA ADMINISTRADORA 18 7. REMUNERAÇÃO DA ADMINISTRADORA 20 8. SUBSTITUIÇÃO E RENÚNCIA DA ADMINISTRADORA 21 9. GESTORA, DISTRIBUIDOR, CUSTODIANTE E AGENTE DE COBRANÇA 22 10. COTAS 27 11. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS 31 12. AMORTIZAÇÃO E RESGATE DAS COTAS 33 13. ORDEM DE ALOCAÇÃO DOS RECURSOS 36 14. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO 38 15. EVENTOS DE AVALIAÇÃO 38 16. EVENTOS DE LIQUIDAÇÃO ANTECIPADA E LIQUIDAÇÃO DO FUNDO 40 17. DESPESAS E ENCARGOS DO FUNDO 42 18. ASSEMBLEIA GERAL 43 19. PUBLICIDADE E REMESSA DE DOCUMENTOS 47 20. DISPOSIÇÕES FINAIS 48 ANEXO I - DEFINIÇÕES 50 ANEXO II - PROCESSO DE ORIGINAÇÃO DOS DIREITOS CREDITÓRIOS E POLÍTICA DE CRÉDITO 65 ANEXO III...",228026_regulamento_regulamento_228026_2021-10-21.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/10/2021,228026,Regulamento,regulamento,data/raw/33254370000104/228026_regulamento_regulamento_228026_2021-10-21.pdf,7,\bvencimento\b,"...reitos Creditórios a serem adquiridos pelo Fundo deverão atender, cumulativamente, aos critérios de elegib ilidade previstos nas Cláusulas 3.5. e 3.6. em relação aos Direitos Creditórios CCB e Direitos Creditórios PPV, respectivamente, na respectiva Data de Aquisição e Pagamento (“Critérios de Elegibilidade”). 3.5 Como Critério de Elegibilidade, os Direitos Creditórios CCB, na respectiva Data de Aquisição e Pagamento, deverão ter prazo máximo de vencimento equivalente a 25 (vinte e cinco) meses. 3.6 Os Direitos Creditórios PPV deverão atender aos seguintes Critérios de Elegibilidade, na respectiva Data de Aquisição e Pagamento: (a) O Cedente deverá ser pessoa física ou pessoa jurídica inscrita, respectivamente, no Cadastro de Pessoas Físicas ou Cadastro Nacional de Pessoas Jurídicas; e (b) O respectivo Cedente não pode estar inadimplente perante o Fundo com relação a quaisqu er parcelas no âmbito ...",228026_regulamento_regulamento_228026_2021-10-21.pdf p.7
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/10/2021,228026,Regulamento,regulamento,data/raw/33254370000104/228026_regulamento_regulamento_228026_2021-10-21.pdf,9,\bresgate\b,"...egrantes da Carteira do Fundo pode ser temporária, não existindo, no entanto, garantia de que não se estenda por períodos longos e/ou indeterminados. 4.1.2 Risco de Crédito: (a) Dos Devedores. Decorre da capacidade dos Devedores em honrar em seus compromissos pontual e integralmente, conforme contratados. O Fundo sofrerá o impacto do inadimplemento dos Direitos Creditórios Adquiridos que estejam vencidos e não pagos. O Fundo somente procederá ao resgate das Cotas em moeda corrente nacional na medida em que os Direitos Creditórios sejam pagos pelos Devedores e os respectivos valores sejam transferidos ao Fundo, não havendo garantia de que o resgate das Cotas ocorrerá integralmente conforme estabelecido neste Regulamento. Nessas hipóteses, não será devido pelo Fundo, pela Administradora, pela Gestora, pelo Custodiante ou pelos Cedentes, qualquer multa ou penalidade, de qualquer natureza. (b) Cobr...",228026_regulamento_regulamento_228026_2021-10-21.pdf p.9
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/10/2021,228026,Regulamento,regulamento,data/raw/33254370000104/228026_regulamento_regulamento_228026_2021-10-21.pdf,11,\bamortiza[cç][aã]o\b,"11 (a) Dos Ativos Financeiros . Diversos motivos podem ocasionar a falta de liquidez dos mercados nos quais os títulos e valores mobiliários integrantes da Carteira são negociados, e/ou outras condições atípicas de mercado. Caso isso ocorra, o Fundo estará sujeito a riscos de liquidez dos Ativos Financeiros detidos em Carteira, situação em que o Fundo poderá não estar apto a efetuar pagamentos relativos à amortização e resgates de suas Cotas. (b) Dos Direitos Creditórios. O investimento do Fundo em Direitos Creditórios apresenta peculiaridades em relação às aplicações usuais da maioria dos fundos de investimento brasileiros, haja vista que não existe, no Brasi l, mercado secundário com liquidez para tais Direitos Creditórios. Caso o Fundo precise vender os Direitos Creditórios detidos em Carteira, poderá não haver mercado comprador ou o preço de alienação de...",228026_regulamento_regulamento_228026_2021-10-21.pdf p.11
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/10/2021,228026,Regulamento,regulamento,data/raw/33254370000104/228026_regulamento_regulamento_228026_2021-10-21.pdf,12,"\bamortiza[cç][aã]o\b, \bresgate\b","12 (e) Amortização e resgate condicionado das Cotas . As únicas fontes de recursos do Fundo para efetuar o resgate das Cotas é a liquidação: (i) dos Direitos Creditórios pelos respectivos Devedores; e (ii) dos Ativos Financeiros pelas respectivas contrapartes. Após o recebimento desses recursos e, se for o caso, depois de esgotados todos os meios cabí veis para a cobrança, extrajudicial ou judicial, dos referidos ativos, o Fundo não disporá de quaisquer outras ver...",228026_regulamento_regulamento_228026_2021-10-21.pdf p.12
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/11/2024,787126,Regulamento,regulamento,data/raw/33254370000104/787126_regulamento_regulamento_787126_2024-11-21.pdf,2,"\bamortiza[cç][aã]o\b, \bresgate\b","...RECEBIMENTO ....................................... 34 8. REMUNERAÇÃO DOS PRESTADORES DE SERVIÇOS ESSENCIAIS .................................................. 38 9. COTAS ....................................................................................................................................................... 40 10. SUBSCRIÇÃO, INTEGRALIZAÇÃO E VALOR DAS COTAS .................................................................. 44 11. AMORTIZAÇÃO E RESGATE DAS COTAS ............................................................................................ 47 12. ORDEM DE ALOCAÇÃO DOS RECURSOS............................................................................................ 51 13. METODOLOGIA DE AVALIAÇÃO DOS ATIVOS DO FUNDO ............................................................ 54 14. EVENTOS DE AVALIAÇÃO ....................................................................",787126_regulamento_regulamento_787126_2024-11-21.pdf p.2
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/11/2024,787126,Regulamento,regulamento,data/raw/33254370000104/787126_regulamento_regulamento_787126_2024-11-21.pdf,4,\bresgate\b,"...os autorizados; (f) as referências ao Fundo alcançam a sua Classe única; e (g) todas as refe rências à Classe alcançam o Fundo já que este possui Classe única. 1. Forma de Constituição, Prazo de Duração e Classificação do Fundo 1.1 O Fundo é constituído em uma única Classe de Cotas fechada, nos termos do artigo 5º do Anexo Normativo II à Resolução CVM nº 175, de modo que as Cotas somente serão resgatadas, ordinariamente, nas respectivas datas de resgate ou em caso de liquidação antecipada da Classe. Adicionalmente, as Cotas também poderão ser objeto de amortizações durante o prazo de vigência do Fundo, nos termos deste Regulamento e dos respectivos Apêndices.",787126_regulamento_regulamento_787126_2024-11-21.pdf p.4
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/11/2024,787126,Regulamento,regulamento,data/raw/33254370000104/787126_regulamento_regulamento_787126_2024-11-21.pdf,10,\bvencimento\b,"...os Direitos Creditórios CCB e Direitos Creditórios PPV, respectivamente, na respectiva Data de Aquisiçã o e Pagamento (“Critérios de Elegibilidade”). 2.3.5 Os Direitos Creditórios CCB deverão atender aos seguintes Critérios de Elegibilidade, na respectiva Data de Aquisição e Pagamento: a) Serem representadas por CCBs; b) Serem originados de operações de crédito realizadas pelas Instituições Financeiras Parceiras; e c) Deverão ter prazo máximo de vencimento equivalente a (a) a 60 (sessenta) meses para as CCBs Veículos; ou (b) a 25 (vinte e cinco) meses para as demais CCBs. 2.3.6 Os Direitos Creditórios PPV deverão atende r aos seguintes Critérios de Elegibilidade, na respectiva Data de Aquisição e Pagamento: a) O Cedente deverá ser pessoa física ou pessoa jurídica inscrita, respectivamente, no Cadastro de Pessoas Físicas ou Cadastro Nacional de Pessoas Jurídicas; e b) O respectivo Cedente não pode ...",787126_regulamento_regulamento_787126_2024-11-21.pdf p.10
,,,,,,,,,,,,,,,,,amortizacao,Mercado Crédito,MERCADO CRÉDITO FUNDO DE INVESTIMENTO EM DIREITOS CREDITÓRIOS RESPONSABILIDADE LIMITADA,Mercado Crédito FIDC,33.254.370/0001-04,21/11/2024,787126,Regulamento,regulamento,data/raw/33254370000104/787126_regulamento_regulamento_787126_2024-11-21.pdf,12,\bresgate\b,"...porária, não existindo, no entanto, garantia de que não se estenda por períodos longos e/ou indeterminados. 3.1.2 Risco de Crédito: Riscos de Maior Materialidade a) Dos Devedores . Decorre da capacidade dos Devedores em honrarem seus compromissos, de forma pontual e/ou integralmente, conforme contratados. O Fundo sofrerá o impacto do inadimplemento dos Direitos Creditórios Adquiridos que estejam vencidos e não pagos. O Fundo somente procederá ao resgate das Cotas em moeda corrente nacional na medida em que os Direitos Creditórios sejam pagos pelos Devedores e os respectivos valores sejam transferidos ao Fundo, não havendo garantia de que o resgate das Cotas ocorrerá integralmente conforme estabelecido neste Regulamento. Nessas hipóteses, não será devido pelo Fundo, pela Administradora, pela Gestora, pelo Custodiante, pelos Cedentes ou por qualquer empresa de seus Grupos Econômicos, qualquer mul...",787126_regulamento_regulamento_787126_2024-11-21.pdf p.12
